JUDUL,ISBN,TAHUN TERBIT,HARGA,STOK
"GURU MILENIAL STRATEGI SUKSES INTERAKSI ONLINE DENGAN (VIDCON, MENTIMETER, QUIZIZZ, DAN KAHOOT!)",9786230118791,2022,163312,6
KUPAS TUNTAS BETERNAK SAPI POTONG,978623225391.9,2022,212758,7
DALAM SEDIHMU BERBAIK SANGKALAH KEPADA ALLAH,9786233570435,2022,224264,8
"MAAF TUHAN, AKU HAMPIR MENYERAH",9786026744470,2022,162313,2
SENI MEMILIH,9786234000689,2022,202447,4
HAND BOOK OF MARINE CRAFT HYDRODYNAMICS AND MOTION CONTROL,9781119575054,2021,221564,10
BUDIDAYA DAN BISNIS CABAI MERAH & HIJAU,9786026724458,2021,183387,2
STATISTIKA DESKRIPTIF,9786230111303,2021,56729,6
MARKETING 5.0: TEKNOLOGI UNTUK KEMANUSIAAN,9786020663449,2021,154121,2
PENJADWALAN PROYEK KONSTRUKSI,9789792170184,2021,177698,7
PRINSIP-PRINSIP MANAJEMEN PEMASARAN,9786236133279,2021,102401,8
HANDBOOK ANALISA DAN DESAIN STRUKTUR BAJA BERDASARKAN SNI 1729-2020,9786236093818,2021,45421,10
DASAR PERANCANGAN DAN IMPLEMENTASI DATABASE RELASIONAL EDISI REVISI,9786230107641,2021,182598,3
"APLIKASI AKUISISI DATA SENSOR DENGAN INSTRUMENTLAB, PLOTLAB, CHART PADA ARDUINO UNO",9786230110856,2021,112177,7
APLIKASI ANALISIS MULTIVARIATE,9797040151,2021,144424,6
MENGENAL JENIS MOTIF BATIK DI JAWA TIMUR,9786233810036,2021,217308,5
TEKNIK OTOMOTIF,9795260944,2021,60818,9
PERFECT PROPOSAL,9786236844236,2021,68357,10
PEMROGRAMAN ANDROID DENGAN FLUTTER,9786237131564,2021,127694,10
ASPEK HUKUM JASA KONSTRUKSI,9786230122187,2021,152176,9
MATERIAL DAN NANOKOMPOSIT,9786230119552,2021,55536,1
ARTIFICIAL INTELLIGENCE (EDISI 3),9786237131465,2021,99696,5
"MENULIS KARYA ILMIAH PENELITIAN, PENULISAN, PRESENTASI DAN PUBLIKASI ILMIAH (EDISI 2)",9786237131502,2021,184591,2
EASY ENGLISH CONVERSATION,9786232054714,2021,201146,5
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI,9786023184774,2021,71609,5
PENULISAN BUKU AJAR YANG BAIK DAN PRODUKTIF (BERBAGI PENGALAMAN MENULIS BUKU SELAMA 40 TAHUN),9786230118012,2021,219199,10
FISIKA DASAR UNTUK SAINS DAN TEKNIK,9786024449537,2021,71528,4
PENGANTAR PRAKTIS PEMASARAN DIGITAL,9786235729114,2021,220161,7
"A TO Z BIMBINGAN DAN KONSELING KARIER KONSEP,TEORI,DAN APLIKASINYA",9786230118715,2021,157102,7
PRODUKSI & EDITING VIDIO UNTUK PEMULA,9786230028168,2021,167499,2
SLANG WORDS THE MASTER ENGLISH CONVERSATION,9786236564578,2021,150888,7
BUDIDAYA LELE 99% SUKSES,9786232252868,2021,149987,9
EVALUASI SISTEM PEMILU DI INDONESIA 1955-2019 SEBUAH PERSPEKTIF PLURALISME HUKUM,9786025834707,2021,156417,8
ANTIOKSIDAN PANGAN,9786023860708,2021,178748,5
MUDAH & CEPAT MEMBUAT PROGRAM SKRIPSI & TA DENGAN PYTHON,9786230026768,2021,95999,2
MUDAH & PRAKTIS BERTANAM SAYURAN YANG MENYEHATKAN,9786236358061,2021,213739,8
PERTANIAN TERPADU UNTUK MENDUKUNG KEDAULATAN PANGAN NASIONAL,9789794209325,2021,181024,6
RICH DADS THE BUSINESS SCHOOL 3rd EDITION (FOR PEOPLE WHO LIKE HELPING PEOPLE),9786020355399,2021,190870,6
DIGITAL MARKETING,9786235729183,2021,65313,10
CEPAT DAN TEPAT BERANTAS HAMA DAN PENYAKIT TANAMAN,9786029988741,2021,141070,3
PANDUAN LENGKAP & PRAKTIS BUDIDAYA KAMBING YANG PALING MENGUNTUNGKAN,9786026409751,2021,109926,9
METODOLOGI PENELITIAN BIDANG PENDIDIKAN,9786236840368,2021,134872,6
FUNDAMENTAL OF PYTHON FOR MACHINE LEARNING,9786237498971,2021,50361,8
"MELELAHKAN, TAPI SEMUA DEMI MASA DEPAN",9786025964329,2021,187362,6
BISNIS ALA MILENIAL,9786025992858,2021,180038,9
INDUSTRI PENGOLAHAN TELUR,9786232962279,2021,218568,7
LEAN UX: DESIGNING GREAT PRODUCTS WITH AGILE TEAMS,9781098116309,2021,220647,4
KOLEKSI PROGRAM DATABASE PYTHON,9786230027019,2021,91005,6
BERANI TIDAK DISUKAI,9786020633213,2021,142872,5
RICH DAN POOR DAD,9786020333175,2021,69590,9
RENTAN BANYAK YANG MERASA LUPA,'9786236123041,2021,47944,10
SENI HIDUP POSITIF,9786237910589,2021,101288,5
PERLUKAH HIDUP MINIMALIS?,9786025861680,2021,215214,9
SESAUDARA DALAM IMAN,9786232933095,2021,135401,7
AMALAN RINGAN PALING MENAKJUBKAN,9786023420995,2021,104317,1
SMART BRAIN WORK BOOK,9786235945281,2021,71067,3
TATA KELOLA DESTINASI MEMBANGUN EKOSISTEM PARIWISATA,9786023860173,2021,165656,4
HUKUM DAGANG INDONESIA,9786232445048,2021,130622,1
FINANCIAL INSTITUTIONS MANAGEMENT,9781260571479,2021,56453,7
STATISTIK EKONOMI KEUANGAN DAERAH JAWA TIMUR,14117371,2021,189244,6
STEP BY STEP KEPEMIMPINAN PEMBELAJARAN & SUPERVISI AKADEMIK,9789792167610,2021,76416,5
CARA AMPUH INVESTASI ALA WARREN BUFFET DAN LO KHENG HONG,9786232442160,2021,70376,2
BANDAR MOLOGY,9786020296142,2021,110233,6
IMPROVING YOUR TOEFL SCORE WITH SPEED READING,9786230111297,2021,158917,4
CARA SUKSES MEMULAI DAN MENJALANKAN USAHA TERNAK KAMBING (BERBAGAI JENIS KAMBING),9786029818819,2021,214010,4
TEKNIK TERNAK KAMBING DENGAN PAKAN FERMENTASI : TANPA NGARIT DAN ANGON,9786029819342,2021,85604,4
"PANDUAN PRAKTIS TERNAK AYAM KAMPUNG UNTUK USAHA MIKRO, MENENGAH, DAN KOPERASI",9786029819359,2021,101930,10
SUKSES USAHA PEMBIBITAN SAPI & KAMBING,9786027819061,2021,204561,2
99 STRATEGI BRANDING DI ERA 4.0,9786232447523,2021,51198,4
AKUNTANSI KEUANGAN,9786236007006,2021,204438,10
FINANCIAL & MANAGERIAL ACCOUNTING,9781260575578,2021,100112,3
ANALISIS DATA PENELITIAN MENGUNAKAN SOFTAWARE DATA,9786230110887,2021,126314,6
BUDIDAYA & BISNIS JAMUR TIRAM SECARA TRADISIONAL & MODERN,9786026724465,2021,110164,5
PANDUAN PRAKTIS BUDIDAYA KAKAO,9786232251243,2021,227288,8
BUKU PINTAR REKSA DANA,9786233272001,2021,211017,1
MANAJEMEN PENGOLAHAN KOPI ARABIKA,978623023934,2021,216086,5
PANDUAN BERKEBUN KOPI,9786232251236,2021,171585,4
PRAKTIS CARA BERKEBUN DURIAN UNGGUL,9786232252929,2021,131025,2
BIOTEKNOLOGI INDUSTRI SUSU,9786233590457,2021,224220,6
PENGOLAHAN KOPI BELAJAR DARI LUAK,9786230239427,2021,71454,7
MENILAI DAMPAK LINGKUNGAN DENGAN ANALISIS DAUR HIDUP (LCA),9789790767843,2021,228221,9
MENYUSUN JOBDESC,9789790132979,2021,216829,4
BELAJAR CEPAT MICROSOFT PROJECT 2019,9786236084403,2021,216573,5
STATISTIKA PENELITIAN,9786237131366,2021,212280,2
ILMU DAN ALAT UKUR TANAH,9789794132302,2021,227642,8
IKHLAS PALING SERIUS,9789797946265,2021,184182,5
BIDADARI BUMI 9 KISAH WANITA SALIHAH,9786029512205,2021,220588,3
SABAR PALING DALAM,9786022204312,2021,159866,7
MENTAL THERAPEUTICS,9786237778509,2021,122406,7
KRISAN,9786236844069,2021,96741,6
GANDHI,9786236166406,2021,88543,1
MOHAMMAD HATTA,9786237219637,2020,127922,3
MASTERING AUTODESK REVIT 2020,9781119570127,2020,91411,1
THE ENTREPRENEURS GUIDE TO LAW AND STRATEGY,9781285428499,2020,186630,7
PEMROGRAMAN DATABASE KOMPLET,9786230012709,2020,196378,7
SISTEM PEMBANGKIT LISTRIK TENAGA SURYA,9786230220188,2020,150778,1
PERENCANAAN STRUKTUR BAJA,9786232960909,2020,59836,1
CORELDRAW,9786230014468,2020,184351,2
"METODE PENGEMBANGAN DESAIN PRODUK KRIYA BERBASIS BUDAYA LOKAL: DESAIN KRIYA,KRIYA TRADISIONAL & ASET BUDAYA LOKAL",9786230205132,2020,134214,9
PANDUAN PRAKTIS DAN JITU MENGUASAI FRAMEWORK LARAVEL 6,9786237156048,2020,176934,8
PYTHON UNTUK MEMBUAT GAME HINGGA FACE DETECTOR,9786230015021,2020,231854,1
"PENGANTAR ILMU PERTANIAN (AGRARIS,AGROBISNIS,AGROINDUSTRI,DAN AGROTEKNOLOGI)",9789793146713,2020,215110,10
PEMPROGRAMAN VB.NET,9786230018732,2020,58386,6
METODE KONSTRUKSI JALAN DAN JEMBATAN,9786239168230,2020,233530,2
PEMROGRAMAN WEB SERI PHP,9786232442818,2020,191112,2
"DASAR BASIS DATA GRAF DAN NEO4J, PANDUAN UNTUK MEMPELAJARI PEMBUATAN BASIS DATA GRAF DENGAN MUDAH DAN CEPAT",9786230104305,2020,99459,10
METODE PENELITIAN R&D (RESEARCH AND DEVELOPMENT),9786237743972,2020,141307,3
"CLOUD COMPUTING, MANAJEMEN DAN PERENCANAAN KAPASITAS",97862301088115,2020,194763,1
CITY BRANDING,9786239207410,2020,189753,9
EASY STEPS CORELDRAW DILENGKAPI BERBAGAI DESAIN GRAFIS,9786230013492,2020,206484,7
COMMUNIPRENEUR: MODEL-MODEL KOMUNIKASI KREATIF DI ERA INDUSTRI 4.0,9786236548264,2020,104656,2
DASAR-DASAR MANAJEMEN KEUANGAN EDISI 14 (BUKU 1),9789790617971,2020,155830,8
8 JURUS EDITING FOTO DENGAN PHOTOSHOP CC 2020,9786230020919,2020,45409,6
MANAJEMEN PERPUSTAKAAN,9786022177043,2020,180052,7
MENGUASAI PEMROGRAMAN ARDUINO DAN ROBOTIK,9786230109379,2020,61216,4
ELEKTRONIKA DASAR,9786237131267,2020,87354,9
EVOLUTIONARY MACHINE LEARNING,9786237131380,2020,228631,9
STATISTIKA DAN PROBABILITAS,9789799549525,2020,109197,10
"METODE PENELITIAN PARIWISATA (KUANTITATIF, KUALITATIF, KOMBINASI, R&D)",9786022895794,2020,107673,7
THE MAGIC OF BLENDER 3D MODELING,9786237131539,2020,58950,2
SEMUA BISA MENJADI PROGRAMMER PYTHON CASE STUDY,9786230011689,2020,114823,4
TEORI KOMUNUKASI INTERPERSONAL,9786232185050,2020,109603,6
MATEMATIKA DISKRIT,9786237131373,2020,78214,1
MENGUASAI PEMROGRAMAN BERORIENTASI OBJEK,9766237131236,2020,160102,7
"LAKI-LAKI MEMANG TIDAK MENANGIS,TETAPI HATINYA BERDARAH,DIK",9786237284369,2020,186924,6
BAGAIMANA MENULIS TESIS,9786237378686,2020,221258,4
MANAJEMEN PEMASARAN DI ERA MASYARAKAT INDUSTRI 4.0,9786230205576,2020,228366,7
BISNIS DIGITAL : CARA MUDAH BISNIS DI ERA INDUSTRI 4.0,9789790619173,2020,232032,6
MEMBUAT SENDIRI APLIKASI AUGMENTED REALITY,9786230015663,2020,81121,9
CLOUD COMPUTING MANAJEMEN DAN PERENCANAAN KAPASITAS,9786230108815,2020,88151,3
MENGENAL AWOS,9786232185562,2020,68030,1
LEBIH MAHIR DENGAN MICROSOFT WORD 2019,9786230103391,2020,94386,10
"METODE PENELITIAN KUALITATIF, UNTUK PENELITIAN YANG BERSIFAT : EKSPLORATIF, ENTERPRETIF, INTERAKTIF, DAN KONSTRUKTIF",9786022893257,2020,180645,9
PEMROGRAMAN WEB,9786026232243,2020,231058,6
MODEL SCIENTIFIC GROUP INQUIRY LEARNING (UNTUK MENINGKATKAN KETERAMPILAN BERPIKIR KRITIS PADA MATERI ENERGI),9786230104053,2020,204042,10
METODE PENELITIAN KUANTITATIF DAN KUALITATIF,9786232441569,2020,160804,10
"PANDUAN KILAT PEMPROGRAMAN PHP, LANGSUNG BISA",9786230012501,2020,53254,6
DASAR PEMPROGRAMAN WEB PENGGUNAKAN PHP DAN MYSQL,9786232187030,2020,208009,4
DESAIN DAN PENGEMBANGAN PROGRAM PELATIHAN BERBASIS KOMPETENSI,9786027985919,2020,168985,7
TOKO ONLINE KEREN BERMODAL 300 RIBUAH,9786230015229,2020,60680,9
JACK MA,9786237537564,2020,73963,3
"YANG MAHA SEKAREPE, YANG MAHA ENTENGAN",9786023919871,2020,214809,5
EDIT VIDEO YOUTUBE DENGAN FILMORA,97862300198813,2020,182200,9
BELAJAR CODING ITU PENTING DI ERA INDUSTRI 4.0,9786023763672,2020,176646,5
TIPS & TRIK FUNGSI &FORMULA EXCEL,9786230022067,2020,186360,4
MORFOLOGI TUMBUHAN,9786023868193,2020,144053,6
LANGKAH MUDAH MENGUASAI SEO TERBARU,9786230109997,2020,129091,2
SERBA SERBI AYAM RAS PEDAGING,9786022896098,2020,78652,4
BACA BUKU INI SAAT ENGKAU GAGAL,9786232441521,2020,163131,10
MANAJEMEN KEWIRAUSAHAAN,9786230208010,2020,59316,4
SUPER TRIK SUKSES DAN KAYA RAYA ALA MARK ZUCKERBERG,9786025945359,2020,59188,5
AHLI BERBICARA,9786232441187,2020,100248,7
PSIKOLOGI SURYOMENTARAMAN,9786237378303,2020,196312,6
THE ART OF MONEY MAGIC,9786237537847,2020,200571,4
SIMPLE VOCABULARY UNTUK PERCAKAPAN SEAHARI-HARI,9786237661030,2020,108559,3
SENI MENGATSI DEPRESI,9786237778158,2020,65406,1
JANGAN MEMBUAT MASALAH KECIL JADI MASALAH BESARJANGAN MEMBUAT MASALAH KECIL JADI MASALAH BESAR,9786020630267,2020,139067,2
99 INTISARI SKILL BERBICARA,9786237345251,2020,170139,10
MENJADI PRIBADI TEGAS DAN BERWIBAWA SETIAP SAAT DAN DISEMUA SITUASI,9786237537403,2020,147670,4
SENI MENGUASAI LAWAN BICARA,9786237778141,2020,50938,6
SUPER TRIK SUKSES DAN KAYA RAYA ALA STEVE JOBS,9786025945366,2020,165617,8
MEMILIH JODOH TERBAIK,9786237465492,2020,84354,3
PERSONAL BRANDING,9786024077785,2020,225935,8
MEMAHAMI DIRI SENDIRI,9786237661016,2020,157052,6
TERAPI BERPIKIR POSITIF,9786022900733,2020,150380,9
BERANI TERSENYUM MESKI TERLUKA,9786237910190,2020,146002,6
TAN MALAKA (BIOGRAFI SINGKAT 1897-1949),9786237219552,2020,150595,5
SENI MELATIH INGATAN,9786237778103,2020,129921,10
SEPTIHAN,9786237439431,2020,54252,4
HOW TO RESPECT MYSELF,9786237100331,2020,64994,3
SEBAB KALAH,9786237506232,2020,50728,5
SENI BERPIKIR POSITIF,9786237778097,2020,78102,10
THE MAGIC OF TALKING,9786237537373,2020,105521,3
BAGAIMANA MENCARI KAWAN DAN MENAKLUKKAN LAWAN,9786237537724,2020,226312,7
SOEKARNO DAN TAN MALAKA,9786232440753,2020,144392,9
150 BRAND AWARENESS IDEAS,9786232442290,2020,214852,6
NADIEM MAKARIM,9786237345138,2020,115490,2
CALLING IS MORE THAN JUST A DREAM,9786020521749,2020,183656,1
MUHAMMAD SANG MULTITALENNTA,9786230012433,2020,79450,4
DAHSYATNYA MUKJIJAT SALAT TAHAJUT & HAJAT,9786237076285,2020,57886,4
MANAJEMEN ZAKAT,9786232183407,2020,111733,10
TUNTUNAN BERBISNIS ALA RASULLULLAH,9786232440357,2020,150316,1
HUKUM PENYELESAIAN SENGKETA KONSUMEN BERSKALA KECIL DI INDONESIA,9786232184138,2020,134101,5
MANAJEMEN LINGKUNGAN HIDUP UNTUK BISNIS TEORI DAN APLIKASI,97862301039955,2020,119183,4
PENGANTAR EKONOMI PARIWISATA,9786232361027,2020,209665,3
EKONOMI TEKNIK,9786230104183,2020,217250,1
PARIWISATA HALAL DAN PENINGKATAN KESEJAHTERAAN,9786237743552,2020,110517,5
DIGITAL GOVERNMENT,9781138655652,2020,162557,9
EVERYTING IS F*CKED SEGALA-GALANYA AMBYAR,9786020522838,2020,106833,4
MENERIMA DAN MENYIASATI KEGAGALAN,9786237046998,2020,211006,2
KAKEIBO,9786025964237,2020,186533,8
DINAMIKA GOVERNANCE DI ERA REVOLUSI INDUSTRI 4.0 DALAM TEORI PRAKTIK TATA KELOLA PEMERINTAHAN,978623020083,2020,202302,10
PEMASARAN PARIWISATA PERSPEKTIF MOTIVASI BERPARIWISATA,9786237715900,2020,155489,8
MANAJEMEN PEMASARAN GEOWISATA,9786230103407,2020,131610,8
SENI MENAKLUKKAN LAWAN BICARA,9786237345169,2020,162093,10
GEOGRAFI PARIWISATA DAN EKONOMI KREATIF,9789797698553,2020,139795,1
COVID 19 DIMATA DOSEN SEBUAH ANTOLOGI OPINI,9786236504338,2020,214604,5
PEMBELAJARAN DARING UNTUK PENDIDIKAN TEORI & PENERAPAN,9786236512876,2020,102866,9
TUJUH DIMENSI EMPLOYEE ENGAGEMENT,9786023830596,2020,186669,6
PERTANIAN DAN INDUSTRI,9786232182813,2020,134290,1
METODE PENELITIAN PARIWISATA DAN HOSPITALITI,9786232184541,2020,214680,8
PUEBI,9786237778028,2020,208758,9
POCKET EDITION KAMUS BAHASA JERMAN,9786026008510,2020,101047,9
NEW NORMAL TEMBUS WAWANCARA BAHASA INGGRIS & TOEFL,9786237762041,2020,137298,6
CETAK CUPANG KUALITAS EKSPOR,9786232250727,2020,164863,1
2019-NCOV JANGAN TAKUT VIRUS CORONA,9786237239604,2020,116689,7
DASAR-DASAR STATISTIKA,9788433084,2020,127606,2
ULTRASONIC GUIDED WAVES IN SOLID MEDIA,9781107048959,2020,116971,1
THE SECRET OF RELATIONSHIP,9786237910145,2020,210356,9
UMKM 4.0,9786230011603,2020,197244,2
"MENGHITUNG BIAYA PEMBANGUNAN RUMAH CEPAT, MUDAH,& PRAKTIS",9786026564542,2020,132773,4
BUKU AJAR TEKNOLOGI HASIL TERNAK,9786024322717,2020,144359,6
BEING A SMART & CONFIDENT SALES EXECUTIVE,9786230104459,2020,128990,10
ALAT BERAT & SISTEM UNDERCARRIAGE,9786027207622,2020,218559,4
INSTAGRAM MARKETING UNTUK PEMULA,9786230016974,2020,66617,4
PERALATAN & KESELAMATAN DALAM PEKERJAAN DASAR OTOMOTIF,9786020874647,2020,206085,9
SEMUA BISA BETERNAK AYAM KAMPUNG DALAM INFOGRAFIS,9786232250802,2020,231893,9
PEDOMAN PRAKTIS MENJADI SALES SUKSES,9786232442887,2020,202727,6
MANAJEMEN KINERJA,9786237498629,2020,69292,9
PERILAKU SAMBUNGAN STRUKTUR,9786237889137,2020,113395,6
MESIN HYBRID,9786230205453,2020,69494,6
SUPER LENGKAP PANDUAN HRD & GA,9789790132832,2020,204349,6
ACCOUNTING INFORMATION SYSTEM,9781119608837,2020,148375,1
FINANCIAL ACCOUNTING 10TH EDITION,9781260565430,2020,76244,5
FINANCIAL ACCOUNTING THEORY AND ANALYSIS,9781119667674,2020,74268,7
MENYUSUN SOP ( STANDARD OPERATING PROCEDURE)ITU MUDAH,9789790132856,2020,144291,2
SUKSES BETERNAK PEMBIBITAN AYAM BURAS,9786021374610,2020,148757,7
177 PROBLEM SOLVING TENTANG MEMBIDIK KONSUMEN,9786237465812,2020,182841,5
"TEKNOLOGI SUSU, DAGING DAN TELUR",9786021507988,2020,66027,6
PROSPEK USAHA PENGGEMUKAN KAMBING POTONG,6027819191,2020,119164,9
DASAR_ DASAR MANAJEMEN RANTAI PASOK,9786024447328,2020,112527,1
SUKSES BISNIS AFILIASI 4.0,9786330014222,2020,68888,3
PINTAR MEMBUAT KOMPOS DARI SAMPAH RUMAH TANGGA & LIMBAH PERTANIAN PETERNAKAN,9786023762477,2020,192759,9
KELADI TIKUS TANAMAN PENGHASIL OBAT KANKER,9786230103377,2020,148913,9
BUDIDAYA SAYURAN ORGANIK DIPEKARANGAN,9786023762880,2020,130873,2
BISNIS MODAL 10 JUTAAN,9786237219521,2020,46311,6
ILMU DAN TEKNOLOGI BAHAN (ILMU LOGAM DAN BUKAN LOGAM),37210010,2020,215103,3
PENGANTAR MANAJEMEN,9789795267041,2020,109711,6
MODEL IN TEACHING AND DEVELOPMENT RESEARCH,9786239349158,2020,207869,7
BULETIN PETERNAKAN (THE EFFECT OF YOUNG COCONUT HUSK ON THE QUALITY OF GOAT MANURE-CHICKEN EXCRETA BIOCULTURE,01264400,2020,112624,2
MEDIA BINA ILMIAH (RECOVERY PARIWISATA BANYUWANGI PASCA COVID 19),19783787,2020,109922,10
INDONESIAN JOURNAL OF ENGLISH TEACHING,23022957,2020,107654,7
STOP JADI YOUTUBER!,9786230013850,2020,150029,3
BAGAIMANA MENGHANCURKAN PIKIRAN-PIKIRAN NEGATIF DAN MENJADI PRIBADI POSITIF BAHAGIA,9786237910497,2020,113029,2
MANUSI BERMILYAR MILYAR CUMA KAMU YANG BIKIN AMBYAR,9789797946166,2020,79606,9
MAHIR PIDATO DAN MC,9786232440791,2020,46968,3
SKETSA GAZA,9786023919765,2020,126788,2
MONEY THE MILLENNIAL WAYS,9786025861345,2020,58271,1
THE HIDDEN TRUTH,9786237122685,2020,198460,6
THE ART OF LOVING,9786020304083,2020,95615,6
"PAHAMI,KENALI,& DEKATI DIRI",9786237661375,2020,204667,2
TRAVELING FOR HEALTHY,9786237333319,2020,57464,3
DUNIA SUNYI,9786237122708,2020,117169,7
DEMI MASA,9786025992957,2020,89554,8
ANA UHIBBUKA OPPA,9786232441248,2020,73372,3
GERBANG DIALOG DANUR,6022201500,2020,166330,5
RETAKAN KISAH,9786025868931,2020,196465,2
KAHLIL GIBRAN CINTA KEHIDUPAN DAN KEMATIAN,9786237661078,2020,99965,7
JANJI CINTA DILANGIT EIFFEL,9786021298251,2020,185116,7
KAMU TAK HARUS SEMPURNA,9786232052581,2020,53512,7
BACA BUKU INI SAAT ENGKAU PATAH HATI,9786232440630,2020,49638,1
RETRAUVAILLE,9789797946074,2020,157680,1
THE TURN OF THE SCREW MISTERI BLY MANOR,9786020639086,2020,184879,1
MEMAHAMI KERAGAMAN GENDER & SEKSUALITAS,9786239371616,2020,164201,6
SUPERTRIK SUKSES & KAYA RAYA ALA BOB SADINO,9786025945328,2020,45101,2
MENGAPA TUHAN MENCIPTAKAN KUCING HITAM,9786232931008,2020,171060,8
KOMUNIKATA SENI BERBICARA ASYIK DALAM SEGALA SITUASI,9786025945410,2020,99617,4
THE VIKING LEGENDS,9786237014270,2020,81147,2
DIDI KEMPOT,9786237333807,2020,205041,5
ANTI MAINSTREAM MARKETING,9786020635798,2020,144787,8
PEKIK TAKBIR BUNG TOMO,9786237537748,2020,70100,3
SUARA RAKYAT SUARA TUHAN,9786022900856,2020,164021,10
PROTOKOL DESTINASI,9786230020582,2020,189931,1
PEMROGRAMAN PYTHON UNTUK PENANGANAN BIG DATA,9786230104008,2019,175670,9
143 TIP & TRIK EXCEL 2019,9786020499673,2019,47266,8
DATA MINING,9786020198812,2019,127454,4
OPERATIONS MANAGEMENT : PROCESSES AND SUPPLY CHAINS,9781292259932,2019,208610,6
121 TIP & TRIK MS WORD 2019,9786230002144,2019,92887,8
PERAWATAN DAN PERBAIKAN MESIN INDUSTRI,9789792999341,2019,176832,8
BELAJAR PEMROGRAMAN ANDROID UNTUK SEMUA KEBUTUHAN,9786230000539,2019,103947,4
TEKNIK PENULISAN TUGAS AKHIR DAN SKRIPSI PEMROGRAMAN,9786020496801,2019,68404,6
PEMPROGRAMAN ANDROID DENGAN FLUTTER,9786237131069,2019,194645,9
MASTERING OPEN CV 4 WITH PYTHON,9781789344912,2019,102693,9
PEMBANGUNAN EKONOMI PERDESAAN BERBASIS PARIWISATA DAN EKONOMI KREATIF,9789790767614,2019,210017,7
AUTOCAD UNTUK TEKNIK,9786028759502,2019,220686,8
